date,ticker,company,source_type,source_id,title,action_type,impact_direction,certainty,impact_nature,wiki_action,wiki_path,archive_path,impact_report_path,url,notes
2026-04-26,002296,辉煌科技,policy,policy_ceff6f0c4038446c,国家发展改革委有关负责同志和相关专家解读——更高水平更高质量做好节能降碳工作,impact_analysis,,,,no_update,,,reports\policy_news_impact_runs\policy_news_impact_20260425_20260428_r1\policy_ceff6f0c4038446c\10_company_impact_analysis\impact_report.md,https://www.gov.cn/zhengce/202604/content_7066989.htm,中国政府网
2026-04-26,300308,中际旭创,policy,policy_ceff6f0c4038446c,国家发展改革委有关负责同志和相关专家解读——更高水平更高质量做好节能降碳工作,impact_analysis,,,,no_update,,,reports\policy_news_impact_runs\policy_news_impact_20260425_20260428_r1\policy_ceff6f0c4038446c\10_company_impact_analysis\impact_report.md,https://www.gov.cn/zhengce/202604/content_7066989.htm,中国政府网
2026-04-26,300394,天孚通信,policy,policy_ceff6f0c4038446c,国家发展改革委有关负责同志和相关专家解读——更高水平更高质量做好节能降碳工作,impact_analysis,,,,no_update,,,reports\policy_news_impact_runs\policy_news_impact_20260425_20260428_r1\policy_ceff6f0c4038446c\10_company_impact_analysis\impact_report.md,https://www.gov.cn/zhengce/202604/content_7066989.htm,中国政府网
2026-04-26,300548,长芯博创,policy,policy_ceff6f0c4038446c,国家发展改革委有关负责同志和相关专家解读——更高水平更高质量做好节能降碳工作,impact_analysis,,,,no_update,,,reports\policy_news_impact_runs\policy_news_impact_20260425_20260428_r1\policy_ceff6f0c4038446c\10_company_impact_analysis\impact_report.md,https://www.gov.cn/zhengce/202604/content_7066989.htm,中国政府网
2026-04-26,688668,鼎通科技,policy,policy_ceff6f0c4038446c,国家发展改革委有关负责同志和相关专家解读——更高水平更高质量做好节能降碳工作,impact_analysis,,,,no_update,,,reports\policy_news_impact_runs\policy_news_impact_20260425_20260428_r1\policy_ceff6f0c4038446c\10_company_impact_analysis\impact_report.md,https://www.gov.cn/zhengce/202604/content_7066989.htm,中国政府网
2026-04-27,002104,恒宝股份,company_disclosure,cninfo_1225191480,2025年年度报告,impact_analysis_and_force_rebuild_marker,mixed,high,mixed,force_rebuild,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225191480\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225191480,new annual report or prospectus-class disclosure
2026-04-27,002104,恒宝股份,company_disclosure,cninfo_1225191488,2026年一季度报告,impact_analysis_and_deferred_wiki_patch,negative,high,mixed,small_update,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225191488\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225191488,same ticker has force_rebuild in this run
2026-04-27,002104,恒宝股份,company_disclosure,cninfo_1225191490,关于2025年度利润分配预案的公告,impact_analysis_and_deferred_wiki_patch,mixed,high,mixed,small_update,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225191490\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225191490,same ticker has force_rebuild in this run
2026-04-27,002104,恒宝股份,company_disclosure,cninfo_1225191493,关于申请银行综合授信额度的公告,impact_analysis_and_deferred_wiki_patch,neutral,high,risk,small_update,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225191493\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225191493,same ticker has force_rebuild in this run
2026-04-27,002313,日海智能,policy,policy_21ae4259db81cd15,工业和信息化部办公厅关于公布2025年度5G应用“扬帆”行动重点城市总结评估情况的通知,impact_analysis,,,,no_update,,,reports\policy_news_impact_runs\policy_news_impact_20260425_20260428_r1\policy_21ae4259db81cd15\10_company_impact_analysis\impact_report.md,https://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_dc25a2ac2f874a07810e2b8f8b8c2d8e.html,工业和信息化部
2026-04-27,002313,日海智能,policy,policy_3ffdcb76a5a3a326,《公开募捐平台服务管理办法》解读,impact_analysis,,,,no_update,,,reports\policy_news_impact_runs\policy_news_impact_20260425_20260428_r1\policy_3ffdcb76a5a3a326\10_company_impact_analysis\impact_report.md,https://www.gov.cn/zhengce/202604/content_7067078.htm,中国政府网
2026-04-27,002491,通鼎互联,policy,policy_21ae4259db81cd15,工业和信息化部办公厅关于公布2025年度5G应用“扬帆”行动重点城市总结评估情况的通知,impact_analysis,,,,no_update,,,reports\policy_news_impact_runs\policy_news_impact_20260425_20260428_r1\policy_21ae4259db81cd15\10_company_impact_analysis\impact_report.md,https://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_dc25a2ac2f874a07810e2b8f8b8c2d8e.html,工业和信息化部
2026-04-27,002491,通鼎互联,policy,policy_3ffdcb76a5a3a326,《公开募捐平台服务管理办法》解读,impact_analysis,,,,no_update,,,reports\policy_news_impact_runs\policy_news_impact_20260425_20260428_r1\policy_3ffdcb76a5a3a326\10_company_impact_analysis\impact_report.md,https://www.gov.cn/zhengce/202604/content_7067078.htm,中国政府网
2026-04-27,002792,通宇通讯,policy,policy_21ae4259db81cd15,工业和信息化部办公厅关于公布2025年度5G应用“扬帆”行动重点城市总结评估情况的通知,impact_analysis,,,,no_update,,,reports\policy_news_impact_runs\policy_news_impact_20260425_20260428_r1\policy_21ae4259db81cd15\10_company_impact_analysis\impact_report.md,https://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_dc25a2ac2f874a07810e2b8f8b8c2d8e.html,工业和信息化部
